code,first_name,second_name,web_name,id,understat
103192,Kurt,Zouma,Zouma,461,935
105717,Arthur,Masuaku,Masuaku,462,1760
164555,Vladimir,Coufal,Coufal,463,8965
172841,Saïd,Benrahma,Benrahma,464,3585
178186,Jarrod,Bowen,Bowen,465,1776
180151,Nikola,Vlasic,Vlasic,466,6276
204480,Declan,Rice,Rice,467,5553
215439,Tomas,Soucek,Soucek,468,8288
217593,Pablo,Fornals Malla,Fornals,469,2335
219924,Issa,Diop,Diop,470,3203
222018,Ben,Johnson,Johnson,471,6424
210494,Nayef,Aguerd,Aguerd,472,0
84182,Alphonse,Areola,Areola,473,2310
90585,Willy,Boly,Boly,474,6850
94147,Conor,Coady,Coady,475,6851
102057,Raúl,Jiménez,Jiménez,476,4105
114128,Jonathan,Castro Otto,Jonny,477,2280
149065,José,Malheiro de Sá,Sá,478,9740
151589,Leander,Dendoncker,Dendoncker,479,7236
171317,Rúben,da Silva Neves,Neves,480,6853
184754,Hwang,Hee-chan,Hwang,481,8845
200402,Nélson,Cabral Semedo,Semedo,482,6163
200600,Daniel,Castelo Podence,Podence,483,8291
214048,Max,Kilman,Kilman,484,7332
245923,Luke,Cundle,Cundle,485,8179
247632,Pedro,Lomba Neto,Neto,486,6382
448514,Rayan,Aït-Nouri,Aït-Nouri,487,6674
449988,Fabio,Silva,Fabio Silva,488,8778
510362,Toti António,Gomes,Toti,489,10293
510363,Francisco Jorge,Tomás Oliveira,Chiquinho,490,10327
159533,Adama,Traoré Diarra,Adama,491,900
216208,Matija,Šarkić,Šarkić,492,0
222531,Morgan,Gibbs-White,Gibbs-White,493,6857
501837,Yerson,Mosquera Valdelamar,Mosquera,494,0
169593,Remi,Matthews,Matthews,495,0
450541,Luke,Plange,Plange,496,0
60706,Adrián,San Miguel del Castillo,Adrián,497,527
219937,Rhys,Williams,R.Williams,498,9086
152898,Ben,Davies,Davies,499,660
444765,Sepp,van den Berg,Van den Berg,500,0
197464,Nathaniel,Phillips,Phillips,501,8228
17601,Scott,Carson,Carson,502,8158
19624,João Filipe Iria,Santos Moutinho,Moutinho,503,3422
222690,Tyrell,Malacia,Malacia,504,10803
156685,Joe,Rothwell,Rothwell,505,0
200785,Tyler,Adams,Adams,506,7352
199170,Moussa,Niakhaté,Niakhaté,507,0
224995,Luis,Sinisterra Lucumí,Sinisterra,508,0
220585,Flynn,Downes,Downes,509,10845
472713,Aaron,Hickey,Hickey,510,8942
204822,Omar,Richards,Richards,511,0
193204,Joe,Ayodele-Aribo,Aribo,512,0
171101,Clément,Lenglet,Lenglet,513,5050
438464,Cheick,Doucouré,C.Doucouré,514,8666
249231,Keane,Lewis-Potter,Lewis-Potter,515,10809
432830,Nathan,Collins,Collins,516,9733
140200,Thomas,Strakosha,Strakosha,517,1214
20066,Wayne,Hennessey,Hennessey,518,509
80607,Christian,Eriksen,Eriksen,519,646
86129,Kalidou,Koulibaly,Koulibaly,520,1376
432931,Tyrese,Francois,Francois,521,9552
232859,Djed,Spence,Spence,522,0
114241,Harry,Toffolo,Toffolo,523,10758
243345,Lewis,O'Brien,O'Brien,524,0
155561,Ludwig,Augustinsson,Augustinsson,525,6083
51927,Ben,Mee,Mee,526,1654
109322,Jesse,Lingard,Lingard,527,558
